Position        Tag         Name

-               nss          hhid      
1.2             nss          state
-               nss          nss_region
1.3             nss          district
4.1             nss          employed_annual
4.6             nss          num_activities_income
4.7             nss          hasincome_selfemp_agri
4.8             nss          hasincome_wage_agri
4.9             nss          hasincome_casual_agri
4.10            nss          hh_type
4.11            nss          hoh_religion
4.12            nss          caste
4.13            nss          has_land
4.14            nss          land_type
4.15            nss          land_area
4.16            nss          has_house
4.17            nss          type_house
4.18            nss          material_wall
4.19            nss          material_roof
4.20            nss          material_floor
4.29            nss          type_rationcard
4.31            nss          has_pmgky
4.1.1           nss          used_ration
7.1             nss          cons_served_processed
7.2             nss          cons_packaged_processed
4.2.7           nss          is_hhmem_pmjay
4.2.9           nss          is_benefit_healthscheme
8.1             nss          fuel_other
8.1             nss          fuel_firewood
8.1             nss          fuel_elec
8.1             nss          fuel_kerosenePDS
8.1             nss          fuel_keroseneother
8.1             nss          fuel_lpg
8.1             nss          fuel_total
4.3.3           nss          has_tv
4.3.3           nss          has_radio
4.3.3           nss          has_laptop
4.3.3           nss          has_mobile
4.3.3           nss          has_bicycle
4.3.3           nss          has_bike
4.3.3           nss          has_car
4.3.3           nss          has_truck
4.3.3           nss          has_animalcart
4.3.3           nss          has_fridge
4.3.3           nss          has_washingmachine
4.3.3           nss          has_acORcooler
-               self         total_expenditure
2.1             nss          hh_size
1.1             nss          sector
-               self         multiplier
-               self         mpce
-               self         decile
-               self         share_lpg
-               self         lpg_class
